,atributo,importancia
0,Rating,0.1360098541068827
12,Reactions,0.07620289218467288
6,Ball_Control,0.05711526279679744
7,Dribbling,0.04014319539950068
3,Age,0.03595769908201886
18,Short_Pass,0.03380890100689852
13,Attacking_Position,0.033142034066199956
29,Finishing,0.030013773724469516
16,Composure,0.027342672495458315
15,Vision,0.024377392826479643
10,Standing_Tackle,0.024234010130589845
30,Long_Shots,0.022367991455483398
8,Marking,0.021336967257685902
14,Interceptions,0.021072582762835444
9,Sliding_Tackle,0.021062963224930367
34,Volleys,0.019134431440610746
21,Speed,0.018413673452231147
27,Heading,0.018176316603112797
20,Acceleration,0.018145868093899703
39,GK_Reflexes,0.017281775222882368
19,Long_Pass,0.016841555152878718
38,GK_Handling,0.01625827200382936
35,GK_Positioning,0.014944868669386236
17,Crossing,0.013206227973618475
36,GK_Diving,0.013130814653260731
31,Curve,0.013056398690958017
28,Shot_Power,0.012208454331507594
33,Penalties,0.011925917432355758
42,Jugador_Nacional,0.011113035476830046
32,Freekick_Accuracy,0.010911805754139822
25,Agility,0.010715081587152571
23,Strength,0.010504815503503727
37,GK_Kicking,0.010101474827632993
26,Jumping,0.010079430718111586
24,Balance,0.010039083621957382
11,Aggression,0.009851729569015628
2,Weight,0.00873793411567369
1,Height,0.008728737191378523
22,Stamina,0.007432100414986694
67,Club_Position_RF,0.006505065135168107
40,Years_to_Contract_Expiry,0.005690327711640208
126,Nationality_France,0.00508852060802348
4,Weak_foot,0.0040666490019045185
5,Skill_Moves,0.003950248738858771
116,Nationality_Egypt,0.003707726927333841
69,Club_Position_RS,0.003571472370673602
233,12,0.003364087038760495
118,Nationality_England,0.003095700321486147
41,Numero_10,0.002746318212907654
70,Club_Position_RW,0.0019850992684429364
239,7,0.0019146382598848356
74,Club_Position_Sub,0.001881802871108329
178,Nationality_Netherlands,0.0018712201776301342
201,Nationality_Senegal,0.0018413843218783098
240,8,0.001729955020755274
238,6,0.0017033886344687667
45,Defense_Rate_Low,0.0015808437114165973
208,Nationality_Spain,0.0014403738737393847
60,Club_Position_LW,0.0014183797907245512
230,Preffered_Foot_Right,0.0012952322858723006
130,Nationality_Germany,0.0012687785490242594
193,Nationality_Portugal,0.0012653868771223215
44,Attack_Rate_Medium,0.0012523279879629852
92,Nationality_Brazil,0.0012334460138378194
241,9,0.0011194922513295053
231,10,0.0011006623895079876
72,Club_Position_Res,0.0010948290262289535
46,Defense_Rate_Medium,0.0010869024099899088
86,Nationality_Belgium,0.0010091286441082652
73,Club_Position_ST,0.001009020636709949
232,11,0.0009631924293235441
234,2,0.0008795975051032735
235,3,0.000809920619153354
68,Club_Position_RM,0.0007753228325909911
78,Nationality_Argentina,0.0007640487897939841
237,5,0.0007154301612081632
54,Club_Position_LCB,0.0006951493508788132
205,Nationality_Slovenia,0.0006737973047856531
148,Nationality_Italy,0.0005904033364179849
59,Club_Position_LS,0.0005755588581860952
236,4,0.0005207523141105446
224,Nationality_Uruguay,0.0004755974737556883
55,Club_Position_LCM,0.0003328098194839004
64,Club_Position_RCB,0.000325680262847992
66,Club_Position_RDM,0.0002875318948413517
51,Club_Position_GK,0.0002722441578632008
223,Nationality_United States,0.0002648603082864614
58,Club_Position_LM,0.00021414706227647907
53,Club_Position_LB,0.00016158400534683942
127,Nationality_Gabon,0.0001540565505364693
107,Nationality_Croatia,0.0001382669728159412
75,Nationality_Algeria,0.00013749365279326525
50,Club_Position_CM,0.00012648697124321108
65,Club_Position_RCM,0.00012365254506143365
171,Nationality_Mexico,0.00010424181092518138
63,Club_Position_RB,0.0001036588930691722
71,Club_Position_RWB,0.00010273220057967116
91,Nationality_Bosnia Herzegovina,9.86048487107748e-05
43,Attack_Rate_Low,9.339571652276488e-05
213,Nationality_Switzerland,9.151483392649527e-05
212,Nationality_Sweden,9.103168104701132e-05
149,Nationality_Ivory Coast,8.360181580526548e-05
106,Nationality_Costa Rica,8.279783304676448e-05
198,Nationality_Russia,7.65722711591613e-05
47,Club_Position_CB,6.755144430643796e-05
150,Nationality_Jamaica,6.726297581274443e-05
100,Nationality_Chile,6.238444603371021e-05
202,Nationality_Serbia,5.634136147026759e-05
133,Nationality_Greece,5.160932213556628e-05
227,Nationality_Wales,5.151061452707562e-05
192,Nationality_Poland,4.407422719103051e-05
56,Club_Position_LDM,4.331582824487104e-05
151,Nationality_Japan,3.871042531435328e-05
82,Nationality_Austria,3.782378969516341e-05
113,Nationality_Denmark,3.7738704894787346e-05
175,Nationality_Morocco,3.709211576247197e-05
95,Nationality_Cameroon,3.422210781298754e-05
79,Nationality_Armenia,3.41390684966364e-05
103,Nationality_Colombia,3.401506082848799e-05
48,Club_Position_CDM,3.173544022301182e-05
204,Nationality_Slovakia,3.16347447233294e-05
200,Nationality_Scotland,2.612021107404582e-05
222,Nationality_Ukraine,2.4604326296673102e-05
52,Club_Position_LAM,2.1582606895647772e-05
220,Nationality_Turkey,1.9109607136755004e-05
199,Nationality_Saudi Arabia,1.583694904082319e-05
111,Nationality_Czech Republic,1.4820088840180315e-05
196,Nationality_Republic of Ireland,1.2853912861030397e-05
226,Nationality_Venezuela,1.2470556010759761e-05
189,Nationality_Paraguay,1.0614371429158069e-05
182,Nationality_Northern Ireland,1.0485875451595411e-05
131,Nationality_Ghana,1.0427513356761734e-05
183,Nationality_Norway,9.993832011371555e-06
61,Club_Position_LWB,9.790912517361284e-06
62,Club_Position_RAM,7.990911349302635e-06
155,Nationality_Korea Republic,7.393743290569799e-06
197,Nationality_Romania,7.142335913390454e-06
167,Nationality_Mali,6.885365416280221e-06
115,Nationality_Ecuador,6.329149191180475e-06
207,Nationality_South Africa,5.893195672733496e-06
112,Nationality_DR Congo,5.5836002226193365e-06
181,Nationality_Nigeria,5.1699533114375164e-06
81,Nationality_Australia,5.14751425230839e-06
143,Nationality_Iceland,4.6664345711666165e-06
137,Nationality_Guinea,4.547744509801113e-06
142,Nationality_Hungary,4.40356722691968e-06
219,Nationality_Tunisia,3.063384140498427e-06
173,Nationality_Montenegro,2.5705163101575243e-06
214,Nationality_Syria,2.4686535425073084e-06
217,Nationality_Togo,2.199878233011478e-06
129,Nationality_Georgia,2.188028297932259e-06
93,Nationality_Bulgaria,1.7690530793411826e-06
179,Nationality_New Zealand,1.6895033226570223e-06
88,Nationality_Benin,1.6539402259977032e-06
94,Nationality_Burkina Faso,1.6470709681496985e-06
57,Club_Position_LF,1.5203958296116765e-06
105,Nationality_Congo,1.492762318060795e-06
156,Nationality_Kosovo,1.4349527429611972e-06
114,Nationality_Dominican Republic,1.3753329750019446e-06
90,Nationality_Bolivia,1.3541522204693386e-06
104,Nationality_Comoros,1.105859988452883e-06
125,Nationality_Finland,1.0193397311164426e-06
96,Nationality_Canada,9.382351847347602e-07
228,Nationality_Zambia,9.342473817800622e-07
76,Nationality_Angola,9.018460908806561e-07
141,Nationality_Honduras,8.877400036432013e-07
97,Nationality_Cape Verde,8.779437938878512e-07
144,Nationality_India,8.542442266388626e-07
147,Nationality_Israel,8.433302754399552e-07
85,Nationality_Belarus,8.016826527039223e-07
190,Nationality_Peru,7.81994808191993e-07
101,Nationality_China PR,7.658884851081128e-07
203,Nationality_Sierra Leone,7.339367572973053e-07
140,Nationality_Haiti,7.328238917368972e-07
145,Nationality_Iran,6.739310909088478e-07
172,Nationality_Moldova,6.391620119904159e-07
99,Nationality_Chad,6.053329574443572e-07
146,Nationality_Iraq,5.794121871481953e-07
121,Nationality_Estonia,5.342655271671974e-07
122,Nationality_FYR Macedonia,5.253628800286425e-07
229,Nationality_Zimbabwe,5.243093227948669e-07
128,Nationality_Gambia,5.029759070323584e-07
109,Nationality_Curacao,4.3704036323668016e-07
136,Nationality_Guatemala,4.17319355143511e-07
180,Nationality_Niger,2.836524567821722e-07
184,Nationality_Oman,2.749187020595439e-07
138,Nationality_Guinea Bissau,2.7032399484609257e-07
169,Nationality_Mauritania,1.5212514152856847e-07
187,Nationality_Panama,1.4642297605908762e-07
161,Nationality_Liberia,1.4506409575705487e-07
119,Nationality_Equatorial Guinea,1.2823512285714816e-07
165,Nationality_Luxembourg,1.1978264887988054e-07
158,Nationality_Latvia,1.1908297797187085e-07
139,Nationality_Guyana,1.0661417033556359e-07
49,Club_Position_CF,9.860976294811466e-08
110,Nationality_Cyprus,9.068251896410898e-08
135,Nationality_Guam,7.20082167130061e-08
77,Nationality_Antigua & Barbuda,7.172888167061222e-08
98,Nationality_Central African Rep.,7.068630268853115e-08
157,Nationality_Kuwait,6.44342436863202e-08
215,Nationality_Tanzania,6.405363877696744e-08
176,Nationality_Mozambique,5.689861336919773e-08
164,Nationality_Lithuania,5.487456403612797e-08
221,Nationality_Uganda,5.247645023709942e-08
218,Nationality_Trinidad & Tobago,4.882735748981331e-08
89,Nationality_Bermuda,4.331524388451096e-08
168,Nationality_Malta,3.795594113105093e-08
211,Nationality_Suriname,3.537621558795924e-08
83,Nationality_Azerbaijan,2.0165662539908775e-08
154,Nationality_Korea DPR,1.9344286422030913e-08
159,Nationality_Lebanon,1.8755475209513246e-08
163,Nationality_Liechtenstein,1.779708137503828e-08
210,Nationality_St Lucia,1.2896872380838605e-08
152,Nationality_Kazakhstan,1.271169917967082e-08
153,Nationality_Kenya,1.1971096013744709e-08
166,Nationality_Madagascar,1.0259776130495656e-08
117,Nationality_El Salvador,1.0122756624518266e-08
186,Nationality_Palestine,8.379522393625079e-09
134,Nationality_Grenada,7.720791065853656e-09
188,Nationality_Papua New Guinea,6.486393171965073e-09
108,Nationality_Cuba,5.434376265962781e-09
87,Nationality_Belize,4.073590655605838e-09
206,Nationality_Somalia,3.4962420370799738e-09
194,Nationality_Puerto Rico,2.755285360623469e-09
195,Nationality_Qatar,2.590092915291194e-09
123,Nationality_Faroe Islands,1.2903075106904588e-09
160,Nationality_Lesotho,8.668002275277824e-10
162,Nationality_Libya,7.251064600249082e-10
174,Nationality_Montserrat,6.202856596387083e-10
225,Nationality_Uzbekistan,4.080436612842344e-10
120,Nationality_Eritrea,0.0
132,Nationality_Gibraltar,0.0
80,Nationality_Aruba,0.0
170,Nationality_Mauritius,0.0
84,Nationality_Barbados,0.0
102,Nationality_Chinese Taipei,0.0
185,Nationality_Pakistan,0.0
209,Nationality_St Kitts Nevis,0.0
124,Nationality_Fiji,0.0
191,Nationality_Philippines,0.0
216,Nationality_Timor-Leste,0.0
177,Nationality_Namibia,0.0
